# Shell scale matrix — one case per line: id|w|h|zoom|nav|aside
01|320|640|1|drawer|1
02|360|740|1|drawer|1
03|375|812|1|drawer|1
04|390|844|1|drawer|1
05|414|896|1|drawer|1
06|480|800|1|drawer|1
07|600|800|1|drawer|1
08|768|900|1|drawer|1
09|820|900|1|drawer|1
10|900|900|1|drawer|1
11|1024|768|1|drawer|1
12|1100|800|1|drawer|1
13|1200|800|1|drawer|1
14|1280|800|1|drawer|1
15|1366|768|1|drawer|1
16|1440|900|1|drawer|1
17|1536|864|1|drawer|1
18|1600|900|1|drawer|1
19|1920|1080|1|drawer|1
20|1280|800|0.5|drawer|1
21|1280|800|0.67|drawer|1
22|1280|800|0.75|drawer|1
23|1280|800|0.8|drawer|1
24|1280|800|0.9|drawer|1
25|1280|800|1.1|drawer|1
26|1280|800|1.25|drawer|1
27|1280|800|1.5|drawer|1
28|1280|800|1.75|drawer|1
29|1280|800|2|drawer|1
30|375|812|1.5|drawer|1
31|768|900|1.25|drawer|1
32|1024|768|0.75|drawer|1
33|1440|900|1.5|drawer|1
34|320|640|1|hidden|1
35|768|900|1|hidden|1
36|1280|800|1|hidden|1
37|320|640|1|rail|1
38|768|900|1|rail|1
39|1280|800|1|rail|1
40|1280|800|1|drawer|0
41|375|812|1|drawer|0
42|900|900|1.25|rail|1
43|600|800|2|drawer|1
44|1920|1080|0.5|drawer|1
45|414|896|1.25|hidden|1
46|1100|800|1.75|drawer|1
47|568|800|1|drawer|1
48|2560|1440|1|drawer|1
